Question,Answer
What is Artificial Intelligence (AI)?,AI is a branch of computer science that focuses on building smart machines capable of performing tasks that typically require human intelligence such as reasoning learning decision-making and natural language understanding.
What is Machine Learning (ML)?,Machine Learning is a subset of AI that allows systems to automatically learn and improve from experience without being explicitly programmed. It focuses on developing algorithms that can analyze data and make predictions.
What is Deep Learning (DL)?,Deep Learning is a subset of Machine Learning that uses multi-layered artificial neural networks (inspired by the human brain) to model and solve complex patterns in large amounts of unstructured data like images audio and text.
What is Natural Language Processing (NLP)?,Natural Language Processing is a field of AI that enables computers to understand interpret manipulate and generate human language. Examples include machine translation sentiment analysis and chatbots.
What is the difference between supervised and unsupervised learning?,Supervised learning uses labeled training data (data with known output labels) to train models while unsupervised learning analyzes unlabeled data to find hidden patterns clusters or structures on its own.
What is reinforcement learning?,Reinforcement Learning (RL) is an ML paradigm where an agent learns to make decisions by taking actions in an environment to maximize cumulative reward. It is based on a trial-and-error feedback loop.
What is overfitting in machine learning?,Overfitting occurs when a machine learning model learns the noise and details of the training data too well resulting in excellent performance on training data but poor generalization to new unseen data.
How can we prevent overfitting?,Overfitting can be prevented by using techniques like regularization cross-validation simplifying the model architecture training with more data and using dropout layers in neural networks.
What is underfitting?,Underfitting occurs when a model is too simple to capture the underlying pattern of the data resulting in poor performance on both the training data and new test data.
What is TF-IDF?,TF-IDF stands for Term Frequency-Inverse Document Frequency. It is a statistical numerical metric that reflects how important a word is to a document in a collection or corpus commonly used in text matching.
What is Cosine Similarity?,Cosine Similarity is a metric used to measure how similar two vectors are by calculating the cosine of the angle between them in a multi-dimensional space. In text matching it determines similarity between TF-IDF document vectors regardless of size.
What is the difference between stemming and lemmatization?,Stemming is a crude heuristic process that chops off the ends of words to find their base form (e.g. studying becomes studi). Lemmatization uses vocabulary and morphological analysis to return the true dictionary base form (e.g. better becomes good).
What is a neural network?,A neural network (or Artificial Neural Network) is a computational model inspired by the biological brain's structure. It consists of layers of interconnected nodes (neurons) that process inputs apply weights and activation functions and produce outputs.
What is computer vision?,Computer vision is a field of AI that enables computers and systems to derive meaningful information from digital images videos and other visual inputs and take actions or make recommendations based on that information.
What are Chatbots?,Chatbots are software applications programmed to simulate human conversation through text or voice interactions. They can be rule-based (using pre-defined matching and keyword logic) or AI-driven (using LLMs or NLP).
What is tokenization?,Tokenization is the process of breaking down a stream of text into smaller meaningful units called tokens such as words sentences or subwords which is a fundamental preprocessing step in NLP.
What are stopwords in NLP?,Stopwords are extremely common words in a language (like the is a at which) that carry very little semantic meaning. They are usually filtered out during NLP preprocessing to focus on key terms.
What is the purpose of this AI FAQ Chatbot?,This chatbot is designed to provide quick accurate and contextually relevant answers to common questions about Artificial Intelligence Machine Learning Deep Learning and Natural Language Processing.
What is the core matching algorithm used here?,The chatbot utilizes a Term Frequency-Inverse Document Frequency (TF-IDF) vectorizer to index the textual questions and evaluates incoming queries using a mathematical Cosine Similarity metric to identify the closest match.
What are some common applications of NLP?,Natural Language Processing (NLP) is used in a wide range of real-world applications including virtual assistants machine translation (e.g. Google Translate) sentiment analysis text summarization spam filters and conversational chatbots.
